id,favorite_count,retweet_count
892420643555336193,36292,7724
892177421306343426,31287,5714
891815181378084864,23563,3786
891689557279858688,39580,7877
891327558926688256,37785,8503
891087950875897856,19038,2846
890971913173991426,11089,1854
890729181411237888,61130,17238
890609185150312448,26194,3922
890240255349198849,29931,6714
890006608113172480,28817,6700
889880896479866881,26214,4563
889665388333682689,45124,9151
889638837579907072,25403,4103
889531135344209921,14209,2061
889278841981685760,23663,4872
888917238123831296,27348,4112
888804989199671297,24029,3880
888554962724278272,18559,3183
888078434458587136,20455,3165
887705289381826560,28414,4919
887517139158093824,43569,10767
887473957103951883,64583,16455
887343217045368832,31621,9567
887101392804085760,28768,5451
886983233522544640,32840,7017
886736880519319552,11264,2938
886680336477933568,21110,4086
886366144734445568,19875,2893
886267009285017600,111,4
886258384151887873,26306,5772
886054160059072513,0,100
885984800019947520,30597,6142
885528943205470208,33784,5847
885518971528720385,19245,3408
885311592912609280,0,16941
885167619883638784,20581,3999
884925521741709313,72438,16551
884876753390489601,26174,5107
884562892145688576,22824,4300
884441805382717440,25460,5212
884247878851493888,68212,18597
884162670584377345,19177,2738
883838122936631299,20540,3145
883482846933004288,43063,9034
883360690899218434,21314,3387
883117836046086144,34860,6071
882992080364220416,22452,3562
882762694511734784,26580,4476
882627270321602560,26305,5561
882268110199369728,42148,10590
882045870035918850,27554,4470
881906580714921986,22871,3111
881666595344535552,47591,9773
881633300179243008,118,7
881536004380872706,46495,14605
881268444196462592,21852,4822
880935762899988482,16047,2552
880872448815771648,20010,3507
880465832366813184,26801,5694
880221127280381952,25360,3813
880095782870896641,25992,3975
879862464715927552,21030,3205
879674319642796034,297,10
879492040517615616,22084,2915
879415818425184262,99468,40658
879376492567855104,15805,2864
879130579576475649,0,6233
879050749262655488,21200,4299
879008229531029506,17875,2462
878776093423087618,18214,3747
878604707211726852,28353,6516
878404777348136964,0,1179
878316110768087041,0,6109
878281511006478336,7281,1179
878057613040115712,39635,6233
877736472329191424,74601,17387
877611172832227328,0,73
877556246731214848,21390,3495
877316821321428993,25798,4774
877201837425926144,25511,5121
876838120628539392,19493,3062
876537666061221889,22263,4304
876484053909872640,17689,2180
876120275196170240,26370,4294
875747767867523072,23712,3922
875144289856114688,20661,4513
875097192612077568,25872,5594
875021211251597312,24040,4343
874680097055178752,26226,4264
874434818259525634,0,13382
874296783580663808,24586,3780
874057562936811520,21444,3668
874012996292530176,32382,9450
873580283840344065,22869,3626
873337748698140672,0,1473
873213775632977920,6771,1473
872967104147763200,25796,5001
872820683541237760,13933,3436
872620804844003328,19581,3368
872486979161796608,38547,8348
872122724285648897,32490,7487
871879754684805121,35583,10174
871762521631449091,19152,3233
871515927908634625,19120,3222
871166179821445120,0,5291
871102520638267392,19825,5114
871032628920680449,21564,3551
870804317367881728,31891,5742
870726314365509632,115,3
870656317836468226,11733,2454
870374049280663552,78718,24596
870308999962521604,20808,3864
870063196459192321,34686,7737
869772420881756160,40394,9405
869702957897576449,26848,5870
869596645499047938,15174,2908
869227993411051520,19415,3525
868880397819494401,62217,13464
868639477480148993,0,1938
868622495443632128,25410,4950
868552278524837888,9605,1938
867900495410671616,23057,3910
867774946302451713,32380,6877
867421006826221569,15339,2330
867072653475098625,0,112
867051520902168576,30732,7383
866720684873056260,19123,4492
866686824827068416,18416,3274
866450705531457537,116665,33046
866334964761202691,50067,13382
866094527597207552,0,7868
865718153858494464,24522,5282
865359393868664832,25308,4708
865006731092295680,26797,7238
864873206498414592,30890,8181
864279568663928832,13955,2844
864197398364647424,28732,8333
863907417377173506,19732,3901
863553081350529029,14634,3949
863471782782697472,0,2293
863432100342583297,22799,4949
863427515083354112,2117,91
863079547188785154,8428,1048
863062471531167744,8120,2293
862831371563274240,18416,4861
862722525377298433,16410,3344
862457590147678208,19643,4662
862096992088072192,71274,21909
861383897657036800,34683,10144
861288531465048066,16500,3921
861005113778896900,16065,3616
860981674716409858,0,2037
860924035999428608,0,761
860563773140209665,7207,2037
860524505164394496,22745,5044
860276583193509888,17701,3330
860184849394610176,16081,5559
860177593139703809,0,29405
859924526012018688,18865,3901
859851578198683649,14878,3339
859607811541651456,17955,1488
859196978902773760,86596,28718
859074603037188101,32639,12999
858860390427611136,0,7745
858843525470990336,15052,3326
858471635011153920,20784,4638
858107933456039936,15234,2779
857989990357356544,15575,2481
857746408056729600,33153,10176
857393404942143489,5707,1573
857263160327368704,19429,4330
857214891891077121,219,17
857062103051644929,0,164
857029823797047296,18294,3823
856543823941562368,15849,2773
856526610513747968,11525,1803
856330835276025856,0,646
856288084350160898,500,15
856282028240666624,26959,6052
855862651834028034,329,25
855860136149123072,4789,941
855857698524602368,11545,2039
855851453814013952,44489,17385
855818117272018944,25956,5236
855459453768019968,29062,7942
855245323840757760,0,5764
855138241867124737,0,43
854732716440526848,22206,5874
854482394044301312,28612,6661
854365224396361728,18449,4543
854120357044912130,31269,7250
854010172552949760,15880,3058
853760880890318849,27976,5578
853639147608842240,33966,9772
853299958564483072,15179,3461
852936405516943360,0,1945
852912242202992640,8865,1769
852672615818899456,14639,2105
852553447878664193,16013,3385
852311364735569921,32572,9713
852226086759018497,19627,6688
852189679701164033,11270,1554
851861385021730816,0,19
851591660324737024,16021,3405
851464819735769094,23889,6910
851224888060895234,20371,5618
850753642995093505,30359,8963
850380195714523136,12915,2563
850333567704068097,3411,321
850145622816686080,16115,3724
850019790995546112,20147,4788
849776966551130114,30055,7465
849668094696017920,0,4873
849412302885593088,15681,3105
849336543269576704,11290,1869
849051919805034497,41859,8348
848690551926992896,24926,4253
848324959059550208,24451,4544
848213670039564288,8088,721
848212111729840128,16157,2997
847978865427394560,0,3215
847971574464610304,0,426
847962785489326080,23286,5014
847842811428974592,5396,1316
847617282490613760,6928,410
847606175596138505,18605,3384
847251039262605312,20334,4264
847157206088847362,19720,5779
847116187444137987,21302,3142
846874817362120707,19935,3885
846514051647705089,44284,11435
846505985330044928,14008,3041
846153765933735936,31411,8954
846139713627017216,30837,9915
846042936437604353,15885,2834
845812042753855489,29052,8622
845677943972139009,25041,4750
845397057150107648,7594,1790
845306882940190720,23215,5344
845098359547420673,0,7585
844979544864018432,13563,2537
844973813909606400,15003,3165
844580511645339650,16390,3100
844223788422217728,13586,2183
843981021012017153,15120,2925
843856843873095681,21389,4588
843604394117681152,16826,2727
843235543001513987,21450,5988
842846295480000512,15240,3621
842765311967449089,6714,1277
842535590457499648,18053,3487
842163532590374912,24415,5764
842115215311396866,13954,3018
841833993020538882,0,15035
841680585030541313,25684,7779
841439858740625411,12633,3675
841320156043304961,19777,5484
841314665196081154,15823,4640
841077006473256960,22857,5291
840761248237133825,0,1764
840728873075638272,0,16103
840698636975636481,174,2
840696689258311684,12288,972
840632337062862849,9008,1764
840370681858686976,16458,4534
840268004936019968,19267,5726
839990271299457024,13423,2275
839549326359670784,27494,7745
839290600511926273,0,144
839239871831150596,27144,6530
838952994649550848,19679,4005
838921590096166913,11182,2066
838916489579200512,0,35
838831947270979586,0,11009
838561493054533637,10960,1338
838476387338051585,22546,4776
838201503651401729,0,10075
838150277551247360,1676,332
838085839343206401,139,1
838083903487373313,17668,3138
837820167694528512,34223,7868
837482249356513284,3855,443
837471256429613056,12843,2278
837110210464448512,16119,2370
836989968035819520,12809,2293
836753516572119041,19382,4653
836677758902222849,12646,2232
836648853927522308,0,556
836397794269200385,0,27590
836380477523124226,14821,2999
836260088725786625,21389,4314
836001077879255040,19158,4280
835685285446955009,0,8164
835574547218894849,17869,3637
835536468978302976,0,1706
835309094223372289,0,21042
835297930240217089,16552,3029
835264098648616962,7779,1706
835246439529840640,2112,73
835172783151792128,26283,5793
835152434251116546,22514,3033
834931633769889797,10860,1651
834786237630337024,21446,5525
834574053763584002,13742,2556
834477809192075265,0,10709
834458053273591808,9672,1694
834209720923721728,20719,4779
834167344700198914,15912,3682
834089966724603904,10108,2149
834086379323871233,13146,2222
833863086058651648,13497,2421
833826103416520705,18154,3799
833732339549220864,0,222
833722901757046785,20928,3243
833479644947025920,14932,2062
833124694597443584,20333,4873
832998151111966721,13354,2217
832769181346996225,0,39
832757312314028032,16965,3654
832682457690300417,11970,2938
832645525019123713,2954,535
832636094638288896,15964,2814
832397543355072512,12041,2234
832369877331693569,17301,3215
832273440279240704,11427,2356
832215909146226688,0,6250
832215726631055365,0,9410
832088576586297345,62,2
832040443403784192,0,9699
832032802820481025,18006,4698
831939777352105988,24195,6189
831926988323639298,338,34
831911600680497154,27817,6561
831670449226514432,10533,1840
831650051525054464,7209,1945
831552930092285952,9043,2332
831322785565769729,9351,1564
831315979191906304,6597,1133
831309418084069378,11852,2483
831262627380748289,12012,2066
830956169170665475,8047,1511
830583320585068544,67410,16941
830173239259324417,0,5737
830097400375152640,9892,2980
829878982036299777,0,5078
829861396166877184,12333,1970
829501995190984704,32050,10710
829449946868879360,10552,2045
829141528400556032,24628,7436
829011960981237760,53593,16468
828801551087042563,0,3451
828770345708580865,25820,5932
828708714936930305,36855,11300
828650029636317184,9607,1364
828409743546925057,6410,1177
828408677031882754,7747,1305
828381636999917570,12710,2236
828376505180889089,7453,1083
828372645993398273,12674,2975
828361771580813312,2216,173
828046555563323392,11877,2907
828011680017821696,10456,2170
827933404142436356,20314,5310
827653905312006145,15662,3052
827600520311402496,7520,955
827324948884643840,16034,3097
827199976799354881,10694,2249
826958653328592898,21817,5078
826848821049180160,36778,10302
826615380357632002,0,4035
826598799820865537,5169,257
826598365270007810,10157,2375
826476773533745153,18625,4248
826240494070030336,13448,2643
826204788643753985,4929,936
826115272272650244,15839,3177
825876512159186944,10594,1898
825829644528148480,12874,2522
825535076884762624,57459,17755
825147591692263424,18532,4600
825120256414846976,0,1279
825026590719483904,6385,1279
824796380199809024,0,5571
824775126675836928,15134,3571
824663926340194305,10221,1768
824325613288833024,11973,10665
824297048279236611,15257,3926
824025158776213504,4882,605
823939628516474880,10756,2750
823719002937630720,0,11369
823699002998870016,14171,2555
823581115634085888,13202,2664
823333489516937216,708,25
823322678127919110,15940,4091
823269594223824897,0,10047
822975315408461824,17536,3504
822872901745569793,133353,43971
822859134160621569,13467,2321
822647212903690241,0,6513
822610361945911296,15022,3005
822489057087389700,18404,6513
822462944365645825,28466,14574
822244816520155136,35452,10047
822163064745328640,0,4858
821886076407029760,11484,2352
821813639212650496,0,3410
821765923262631936,8544,1684
